"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21030-47640","RB","Branden","Branden Oliver","Oliver","2.049999952316284","2","5000","KC@LAC","LAC","KC","","","",""
"21030-34331","RB","Latavius","Latavius Murray","Murray","0.6000000238418579","2","5000","TB@MIN","MIN","TB","","","",""
"21030-22048","RB","Robert","Robert Turbin","Turbin","1.600000023841858","2","5000","CLE@IND","IND","CLE","","","",""
"21030-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","4.550000190734863","2","5000","PIT@CHI","PIT","CHI","","","",""
"21030-33472","RB","C.J.","C.J. Prosise","Prosise","2.4000000953674316","2","5000","SEA@TEN","SEA","TEN","","","",""
"21030-40687","RB","James","James Conner","Conner","1","2","5000","PIT@CHI","PIT","CHI","","","",""
"21030-6897","K","Mason","Mason Crosby","Crosby","5.5","2","5000","CIN@GB","GB","CIN","","","",""
"21030-7965","TE","Antonio","Antonio Gates","Gates","5.400000095367432","2","5000","KC@LAC","LAC","KC","","","",""
"21030-33578","RB","Jalen","Jalen Richard","Richard","10.600000381469727","2","5000","OAK@WAS","OAK","WAS","","","",""
"21030-14349","WR","Jeremy","Jeremy Kerley","Kerley","2.9000000953674316","1","4900","MIA@NYJ","NYJ","MIA","","","",""
