Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN
261,Matt Judon (BAL),50,8,8.0,3,0,2,1,0,16,0.0,0.0,29.8%
262,Romeo Okwara (DET),1,2,0.0,0,0,0,0,0,6,0.0,0.0,0.9%
263,Reid Ferguson (BUF),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
264,Bryson Albright (FA),0,0,0.0,0,0,0,0,0,7,0.0,0.0,1.0%
265,Kache Palacio (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
266,Josh Forrest (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,2.0%
267,Jared Norris (WAS),0,0,0.0,0,0,0,0,0,11,0.0,0.0,0.0%
268,Mike Windt (FA),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
269,Tyler Ott (SEA),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
270,L.P. LaDouceur (DAL),0,0,0.0,0,0,0,1,0,16,0.0,0.0,0.0%
271,Jon Condo (FA),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
272,James Winchester (KC),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
273,Aaron Brewer (ARI),0,0,0.0,0,0,0,0,0,8,0.0,0.0,0.0%
274,Patrick Scales (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%
275,Jon Weeks (HOU),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
276,Matt Overton (FA),0,0,0.0,0,0,0,0,0,9,0.0,0.0,0.0%
277,Morgan Cox (BAL),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
278,Charley Hughlett (CLE),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
279,Joe Cardona (NE),0,0,0.0,0,0,0,0,0,16,0.0,0.0,1.0%
280,Nick Sundberg (WAS),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
281,Don Muhlbach (DET),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
282,Jeremy Cash (FA),0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%
283,Dominique Alexander (FA),0,0,0.0,0,0,0,0,0,4,0.0,0.0,3.0%
284,Joshua Perry (FA),0,0,0.0,0,0,0,0,0,2,0.0,0.0,1.0%
285,Brett Goode (FA),0,0,0.0,0,0,0,0,0,10,0.0,0.0,0.0%
286,Jake McQuaide (LAR),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
287,Justin Drescher (FA),0,0,0.0,0,0,0,0,0,8,0.0,0.0,0.0%
288,J.J. Jansen (CAR),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
289,Josh Harris (ATL),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
290,Andrew DePaola (FA),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
291,Kevin McDermott (FA),0,0,0.0,0,0,0,0,0,15,0.0,0.0,0.0%
292,Rick Lovato (PHI),0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%
